X1,X2
NJIT,Army West Point
Army West Point,Air Force
Fairleigh Dickinson,Army West Point
Niagara,Army West Point
Bucknell,Army West Point
Army West Point,Lafayette
Army West Point,Boston U.
Loyola Maryland,Army West Point
Army West Point,Colgate
Army West Point,Navy
Army West Point,Holy Cross
Army West Point,Lafayette
Colgate,Army West Point
Lehigh,Army West Point
Holy Cross,Army West Point
American,Army West Point
Army West Point,Boston U.
Navy,Army West Point
Lehigh,Army West Point
American,Army West Point
Army West Point,Loyola Maryland
Bucknell,Army West Point
Lehigh,Army West Point
Auburn,South Alabama
Auburn,Washington
Auburn,Xavier
Duke,Auburn
Auburn,Arizona
Auburn,Saint Peter's
Auburn,UNC Asheville
Auburn,Dayton
Auburn,UAB
NC State,Auburn
Auburn,Murray St.
Auburn,North Florida
Ole Miss,Auburn
Auburn,Georgia
Auburn,Texas A&M
Kentucky,Auburn
South Carolina,Auburn
Mississippi St.,Auburn
Auburn,Missouri
Auburn,Alabama
Auburn,Florida
LSU,Auburn
Ole Miss,Auburn
Auburn,Vanderbilt
Auburn,Arkansas
Kentucky,Auburn
Auburn,Georgia
Auburn,Mississippi St.
Auburn,Alabama
Auburn,Tennessee
Auburn,Missouri
Auburn,South Carolina
Auburn,Florida
NA,NA
Mississippi St.,Austin Peay
South Fla.,Austin Peay
Austin Peay,Central Conn. St.
Campbell,Austin Peay
Ohio,Austin Peay
Austin Peay,Troy
Austin Peay,Alabama A&M
Austin Peay,Purdue Fort Wayne
Austin Peay,Campbell
Austin Peay,Liberty
Arkansas,Austin Peay
Austin Peay,Eastern Ky.
Austin Peay,Morehead St.
Austin Peay,Southeast Mo. St.
Austin Peay,UT Martin
Austin Peay,SIUE
Eastern Ill.,Austin Peay
Austin Peay,Tennessee St.
Belmont,Austin Peay
Austin Peay,Tennessee Tech
Austin Peay,Jacksonville St.
Austin Peay,SIUE
Austin Peay,Eastern Ill.
Murray St.,Austin Peay
Austin Peay,Morehead St.
Austin Peay,Southeast Mo. St.
Austin Peay,UT Martin
Eastern Ky.,Austin Peay
Murray St.,Austin Peay
Austin Peay,Morehead St.
Belmont,Austin Peay
Ball St.,Indiana St.
Purdue,Ball St.
Virginia Tech,Ball St.
Alabama,Ball St.
Ball St.,Appalachian St.
Ball St.,Evansville
Ball St.,IUPUI
Ball St.,Loyola Chicago
Evansville,Ball St.
Ball St.,Valparaiso
Ball St.,Howard
Ball St.,Delaware St.
Ball St.,Toledo
Eastern Mich.,Ball St.
Ohio,Ball St.
Bowling Green,Ball St.
Ball St.,Central Mich.
Miami (OH),Ball St.
Ohio,Ball St.
Buffalo,Ball St.
Kent St.,Ball St.
Ball St.,Northern Ill.
Ball St.,Western Mich.
Ball St.,Akron
Miami (OH),Ball St.
Central Mich.,Ball St.
Toledo,Ball St.
Ball St.,Western Mich.
Eastern Mich.,Ball St.
Northern Ill.,Ball St.
Ball St.,Eastern Mich.
Bowling Green,Ball St.
Texas Southern,Baylor
Baylor,Southern U.
Baylor,Prairie View
Baylor,Nicholls St.
Ole Miss,Baylor
Baylor,George Mason
Baylor,South Dakota
Wichita St.,Baylor
Baylor,Arizona
SFA,Baylor
Baylor,Oregon
Baylor,New Orleans
